City,Country,Continent,Population 2023,Population 2024,Growth Rate
Bursa,Turkey,Asia,2086324,2115513,0.014
Rajkot,India,Asia,2043107,2096981,0.0264
Minsk,Belarus,Europe,2057257,2064733,0.0036
Hiroshima,Japan,Asia,2067591,2062884,-0.0023
Haikou,China,Asia,2016092,2056646,0.0201
Daqing,China,Asia,2000656,2044371,0.0219
Lome,Togo,Africa,1981615,2042734,0.0308
Lianyungang,China,Asia,1986439,2035631,0.0248
Yancheng Jiangsu,China,Asia,1993463,2034326,0.0205
Panama City,Panama,North America,1976866,2015735,0.0197
Almaty,Kazakhstan,Asia,1987301,2015209,0.014
Semarang,Indonesia,Asia,1975306,2013571,0.0194
Hyderabad,Pakistan,Asia,1967684,2011964,0.0225
Valencia,Venezuela,South America,1983445,2007265,0.012
Davao City,Philippines,Asia,1949400,1991457,0.0216
Vienna,Austria,Europe,1975271,1990487,0.0077
Rabat,Morocco,Africa,1959388,1989197,0.0152
Ludhiana,India,Asia,1951085,1988438,0.0191
Quito,Ecuador,South America,1956995,1986667,0.0152
Benin City,Nigeria,Africa,1904631,1972558,0.0357
La Paz,Bolivia,South America,1935619,1965570,0.0155
Baixada Santista,Brazil,South America,1947785,1965110,0.0089
West Yorkshire,United Kingdom,Europe,1928661,1942470,0.0072
Can Tho,Vietnam,Asia,1865172,1938915,0.0395
Zhuhai,China,Asia,1889829,1930373,0.0215
Leon De Los Aldamas,Mexico,North America,1898749,1924435,0.0135
Quanzhou,China,Asia,1869994,1920733,0.0271
Matola,Mozambique,Africa,1852405,1915035,0.0338
Datong,China,Asia,1873693,1913674,0.0213
Sharjah,United Arab Emirates,Asia,1830858,1872199,0.0226
Madurai,India,Asia,1834279,1871912,0.0205
Raipur,India,Asia,1816813,1871107,0.0299
Adana,Turkey,Asia,1835895,1856638,0.0113
Santa Cruz,Bolivia,South America,1820114,1855732,0.0196
Palembang,Indonesia,Asia,1818421,1852673,0.0188
Mosul,Iraq,Asia,1792020,1847691,0.0311
Cixi,China,Asia,1788871,1840039,0.0286
Meerut,India,Asia,1797805,1835403,0.0209
Gaziantep,Turkey,Asia,1804704,1833006,0.0157
La Laguna,Mexico,North America,1780592,1826135,0.0256
Batam,Indonesia,Asia,1748142,1806147,0.0332
Turin,Italy,Europe,1801944,1805727,0.0021
Warsaw,Poland,Europe,1797516,1799451,0.0011
Jiangmen,China,Asia,1768511,1797469,0.0164
Varanasi,India,Asia,1754425,1789047,0.0197
Hamburg,Germany,Europe,1787520,1787280,-0.0001
Montevideo,Uruguay,South America,1774396,1781363,0.0039
Budapest,Hungary,Europe,1778052,1780391,0.0013
Lyon,France,Europe,1761188,1774395,0.0075
Xiangyang,China,Asia,1742706,1772318,0.017
Bucharest,Romania,Europe,1776385,1767520,-0.005
Yichang,China,Asia,1711244,1758100,0.0274
Yinchuan,China,Asia,1716591,1757699,0.0239
Shiraz,Iran,Asia,1720954,1742750,0.0127
Kananga,DR Congo,Africa,1664442,1738716,0.0446
Srinagar,India,Asia,1698277,1737502,0.0231
Monrovia,Liberia,Africa,1678020,1735365,0.0342
Tiruppur,India,Asia,1677173,1731862,0.0326
Jamshedpur,India,Asia,1695060,1730521,0.0209
Suqian,China,Asia,1664968,1726327,0.0369
Aurangabad,India,Asia,1683389,1725283,0.0249
Qinhuangdao,China,Asia,1680962,1723728,0.0254
Stockholm,Sweden,Europe,1700066,1719604,0.0115
Anshan,China,Asia,1689499,1713452,0.0142
Glasgow,United Kingdom,,1698088,1708147,0.0059
Xining,China,Asia,1666605,1705078,0.0231
Makassar,Indonesia,Asia,1673094,1704930,0.019
Hengyang,China,Asia,1661854,1702012,0.0242
Novosibirsk,Russia,Asia,1694765,1701510,0.004
Ulaanbaatar,Mongolia,Asia,1672627,1699363,0.016
Onitsha,Nigeria,Africa,1623382,1694913,0.0441
Jilin,China,Asia,1668785,1693701,0.0149
Anyang,China,Asia,1642347,1693375,0.0311
Auckland,New Zealand,Oceania,1673220,1692770,0.0117
Tabriz,Iran,Asia,1660737,1678028,0.0104
Phoenix,United States,North America,1660445,1676481,0.0097
Muscat,Oman,Asia,1650319,1676167,0.0157
Calgary,Canada,North America,1639613,1665023,0.0155
Qiqihaer,China,Asia,1635458,1662407,0.0165
N Djamena,Chad,Africa,1592324,1655618,0.0397
Marseille,France,Europe,1627549,1635707,0.005
Cordoba,Argentina,South America,1611651,1625937,0.0089
Jodhpur,India,Asia,1586547,1625325,0.0244
Kathmandu,Nepal,Asia,1571010,1621642,0.0322
Rosario,Argentina,South America,1594096,1613041,0.0119
Tegucigalpa,Honduras,North America,1568025,1609261,0.0263
Ciudad Juarez,Mexico,North America,1582313,1604085,0.0138
Harare,Zimbabwe,Africa,1578128,1603201,0.0159
Karaj,Iran,Asia,1593608,1603011,0.0059
Medina,Saudi Arabia,Asia,1572571,1598976,0.0168
